tweet_id,view_count,created_at,full_text
1801727411148702082,925915,2024-06-14 21:24:23+00:00,Standing down from today’s Falcon 9 launch. A new target launch date will be shared once available
1801721671340208311,718942,2024-06-14 21:01:35+00:00,Watch Falcon 9 launch 22 @Starlink satellites to orbit  https://t.co/1tRrN4jDLm
1801713736803356746,657995,2024-06-14 20:30:03+00:00,All systems are looking good and propellant load is about to begin for today’s launch of 22 @Starlink satellites from Florida → https://t.co/bJFjLCiTbK
1801409332250321132,737659,2024-06-14 00:20:28+00:00,"Standing down from tonight’s Falcon 9 launch attempt due to weather, now targeting Friday, June 14 → https://t.co/bJFjLCiTbK"
1801401965643288890,606129,2024-06-13 23:51:11+00:00,"All systems are looking good, weather is 40% favorable, and propellant load is about to begin for tonight’s launch of 22 @Starlink satellites from Florida → https://t.co/bJFjLCiTbK"
1801051148054667644,1063687,2024-06-13 00:37:10+00:00,This was only a test. The crew training in Hawthorne is safe and healthy as is the Dragon spacecraft docked to the @space_station
1800984148771029028,730186,2024-06-12 20:10:56+00:00,"Standing down from tonight’s Falcon 9 launch attempt, now targeting Thursday, June 13 → https://t.co/bJFjLCiTbK"
1800709666382770304,55846793,2024-06-12 02:00:14+00:00,Engine ignition and liftoff of Starship on Flight 4 as seen from the launch tower https://t.co/4UmeAmKxRT
1800676202409345293,619514,2024-06-11 23:47:16+00:00,"Targeting Wednesday, June 12 for a Falcon 9 launch of 22 @Starlink satellites to low-Earth orbit from Florida → https://t.co/bJFjLCiTbK"
1800605185422799150,5,2024-06-11 19:05:04+00:00,"RT @Starlink: This marks the 100th country, territory or other market around the world where Starlink’s high-speed, low-latency internet is…"
1799458854067118450,76274739,2024-06-08 15:09:57+00:00,Super Heavy landing burn and soft splashdown in the Gulf of Mexico https://t.co/lnjCSk2Cz6
1799441895598526745,1054409,2024-06-08 14:02:34+00:00,Deployment 20 @Starlink satellites confirmed
1799427937617453482,1093163,2024-06-08 13:07:06+00:00,"Falcon 9’s first stage has landed on Of Course I Still Love You droneship, completing our 60th launch of the year https://t.co/6d354pAhYH"
1799425961873887298,727926,2024-06-08 12:59:15+00:00,Liftoff! https://t.co/JkQjnWSjKA
1799424068502118689,625521,2024-06-08 12:51:44+00:00,"Watch Falcon 9 launch 20 @Starlink satellites to orbit from California, including 13 with Direct to Cell capabilities https://t.co/4cpazZaDMA"
