tweet_id,view_count,created_at,full_text
1803490501628498334,483985,2024-06-19 18:10:17+00:00,"Due to ongoing unfavorable weather at the launch and recovery sites, now targeting Thursday, June 20 for Falcon 9’s launch of the @SES_Satellites ASTRA 1P mission from Florida. The ~3-hour window opens at 5:35 p.m. ET → https://t.co/bJFjLCiTbK"
1803297807446552618,2408284,2024-06-19 05:24:35+00:00,Falcon 9 delivers 20 @Starlink  satellites to orbit from California https://t.co/cIxiifeAGj
1803273949536821602,612128,2024-06-19 03:49:47+00:00,Falcon 9’s first stage has landed on Of Course I Still Love You droneship https://t.co/oftsMhP728
1803271868109169037,1740248,2024-06-19 03:41:31+00:00,Liftoff! https://t.co/11qdO3yX47
1803269912305246275,617130,2024-06-19 03:33:44+00:00,"Watch Falcon 9 launch 20 @Starlink satellites to orbit from California, including 13 with Direct to Cell capabilities https://t.co/NXEjHN5Cok"
1803261267282645086,488671,2024-06-19 02:59:23+00:00,"All systems are looking good, weather is 90% favorable, and propellant load is about to begin for today’s launch of 20 @Starlink satellites from California → https://t.co/DngkHY8cZI https://t.co/QyWf4nzSM5"
1803222530276336103,487637,2024-06-19 00:25:28+00:00,"Standing down from today's launch of the @SES_Satellites ASTRA 1P mission due to unfavorable weather conditions in Florida. Now targeting tomorrow, June 19 for liftoff → https://t.co/bJFjLCiTbK"
1803219022856753606,318701,2024-06-19 00:11:31+00:00,"@SES_Satellites ASTRA 1P is our 12th dedicated mission with @SES_Satellites, having first launched SES-8 in 2013, followed by the first reflight of Falcon 9 during SES-10, and most recently, the third O3B mPOWER mission last year https://t.co/YS6OjUrTNf"
1803218472538873958,429345,2024-06-19 00:09:20+00:00,Watch Falcon 9 launch the @SES_Satellites ASTRA 1P mission to orbit https://t.co/nTIXB5J053
1803214005877846327,408230,2024-06-18 23:51:35+00:00,Propellant load is underway for Falcon 9’s launch of the @SES_Satellites ASTRA 1P mission from Florida. Teams are continuing to monitor winds → https://t.co/bJFjLCiTbK
1803167890771988852,505134,2024-06-18 20:48:21+00:00,"Falcon 9 is vertical at SLC-40 ahead of today’s launch of the @SES_Satellites ASTRA 1P mission, which is now targeted for 8:23 p.m. ET due to elevated winds at the launch site. Teams are continuing to monitor weather, which is currently 55% favorable https://t.co/82VPb3VFml"
1801727411148702082,951836,2024-06-14 21:24:23+00:00,Standing down from today’s Falcon 9 launch. A new target launch date will be shared once available
1801721671340208311,745976,2024-06-14 21:01:35+00:00,Watch Falcon 9 launch 22 @Starlink satellites to orbit  https://t.co/1tRrN4jDLm
1801713736803356746,675448,2024-06-14 20:30:03+00:00,All systems are looking good and propellant load is about to begin for today’s launch of 22 @Starlink satellites from Florida → https://t.co/bJFjLCiTbK
1801409332250321132,752093,2024-06-14 00:20:28+00:00,"Standing down from tonight’s Falcon 9 launch attempt due to weather, now targeting Friday, June 14 → https://t.co/bJFjLCiTbK"
